施工類型,施工單位,施工路段,起日,迄日,區名,里名,經度,緯度
道路更新,新工處,113年度大同區迪化街2段及延平北路3段三角綠地周邊道路設置彩色壓花瀝青鋪面工程,2024-04-18 00:00:00+08,2024-05-03 23:59:59+08,大同區,隆和里,121.51127703558245,25.063469016488398
道路更新,新工處,松江路77巷,2024-03-28 00:00:00+08,2024-12-31 23:59:59+08,中山區,朱園里,121.53311302894208,25.04969689392138
道路更新,新工處,指南路2段45巷24弄,2024-04-15 00:00:00+08,2024-04-30 23:59:59+08,文山區,萬興里,121.57445395493342,24.989238113026172
道路更新,新工處,指南路2段45巷24弄,2024-04-29 00:00:00+08,2024-05-10 23:59:59+08,文山區,萬興里,121.57445395493342,24.989238113026172
道路更新,新工處,一壽街44巷,2024-04-15 00:00:00+08,2024-04-30 23:59:59+08,文山區,樟新里,121.55666511866424,24.97916205172384
道路更新,新工處,三福街4巷5弄,2024-04-08 00:00:00+08,2024-04-27 23:59:59+08,文山區,景華里,121.54224355842281,24.996154501138673
道路更新,新工處,景美街本線(景美街1-10號至景美街5巷2-1號)及景美街3、5弄,2024-04-08 00:00:00+08,2024-04-27 23:59:59+08,文山區,景華里,121.54176201743155,24.993197990112563
道路更新,新工處,大亨路,2024-03-12 00:00:00+08,2024-05-31 23:59:59+08,士林區,陽明里,121.54791754142065,25.142376103877176
人行道更新,新工處,臺北市立松山高中南側（基隆路1段至學校南側大門）人行道鋪面更新,2024-03-20 00:00:00+08,2024-09-02 23:59:59+08,信義區,西村里,121.5661857,25.0383099
道路更新,新工處,113年度中山區林森北路107巷(南京東路1段132巷至林森北路)路面更新工程,2024-04-05 00:00:00+08,2024-04-18 23:59:59+08,中山區,正義里,121.52503903094913,25.050220999424454
道路更新,新工處,文山區秀明路1段185巷口,2024-03-30 00:00:00+08,2024-06-27 23:59:59+08,文山區,木柵里,121.56900450718041,24.99172107377981
人行道更新,新工處,大同區歸綏街(延平北路2段至歸綏街166巷)南側人行道鋪面及側溝蓋更新工程,2024-03-29 00:00:00+08,2024-05-07 23:59:59+08,大同區,延平里,121.51262917136236,25.05812201280282
道路更新,新工處,松江路38巷,2024-03-15 00:00:00+08,2024-12-31 23:59:59+08,中山區,興亞里,121.53278381442648,25.04749834723908
道路更新,新工處,伊通街,2024-03-15 00:00:00+08,2024-12-31 23:59:59+08,中山區,中央里,121.53480980076192,25.052694877590795
人行道更新,新工處,士林區中正路(中正路365巷至中山北路五段),2024-03-18 00:00:00+08,2024-06-15 23:59:59+08,士林區,福林里,121.52726467159123,25.090542999815767
道路更新,新工處,龍生里瑞安街244巷道路更新,2024-04-15 00:00:00+08,2024-05-04 23:59:59+08,大安區,龍生里,121.53896122290615,25.027714856483005
人行道更新,新工處,士林區百齡國小福港街(160巷至224巷口),2024-03-23 00:00:00+08,2024-05-31 23:59:59+08,士林區,福中里,121.51774824154656,25.087155743326072
道路更新,新工處,杭州南路一段77巷路口,2024-03-26 00:00:00+08,2024-06-23 23:59:59+08,中正區,文北里,121.52561101202184,25.03931698158351
道路更新,新工處,和平東路1段,2024-06-01 00:00:00+08,2024-06-30 23:59:59+08,大安區,錦安里,121.52862357609732,25.026658281192628
道路更新,新工處,忠誠路2段53巷,2024-05-01 00:00:00+08,2024-05-16 23:59:59+08,士林區,三玉里,121.53075110458416,25.110601391928483
人行道更新,新工處,萬華區華江里環河南路二段與環河南路二段280巷交叉口及環河南路2段與雙園街交叉口,2024-04-26 00:00:00+08,2024-06-24 23:59:59+08,萬華區,華江里,121.49078596452756,25.03267201829361
道路更新,新工處,古莊里浦城街4巷雙號側溝蓋及路面更新,2024-04-15 00:00:00+08,2024-05-14 23:59:59+08,大安區,古莊里,121.52679696750215,25.024384998262107
人行道更新,新工處,北投區立德街125號,2023-12-21 00:00:00+08,2024-09-04 23:59:59+08,北投區,清江里,121.5026806,25.1323027
人行道更新,新工處,士林區延平北路六段308號(社子國小),2024-02-29 00:00:00+08,2024-05-04 23:59:59+08,士林區,永倫里,121.5028939589406,25.089874987066665
人行道更新,新工處,北投區三合街1段(36巷至磺港路)人行道既有彩色透水瀝青鋪面改善工程,2024-04-01 00:00:00+08,2024-07-03 23:59:59+08,北投區,奇岩里,121.5067147761005,25.1272727659234
人行道更新,新工處,士林區葫東街25、27號等9處斜坡道案,2024-01-25 00:00:00+08,2024-05-18 23:59:59+08,士林區,葫東里,121.51090303506277,25.08362699071114
人行道更新,新工處,松山區松山新城甲區道路鋪面更新工程,2024-02-20 00:00:00+08,2024-08-13 23:59:59+08,松山區,慈祐里,121.5768018,25.0497252
人行道更新,新工處,士林區承德路5段(承德路5段78號至通河東街)人行道更新、設置機車停車彎及溝蓋更新工程,2023-10-20 00:00:00+08,2024-05-04 23:59:59+08,士林區,後港里,121.51451597060753,25.093806979755783
道路更新,新工處,社子街115巷20弄15號至115巷25號及社子街115巷20弄,2024-03-01 00:00:00+08,2024-06-01 23:59:59+08,士林區,社新里,121.50660596858086,25.08798599945753
道路更新,新工處,社子街,2024-03-01 00:00:00+08,2024-06-01 23:59:59+08,士林區,社新里,121.50620332711439,25.087466681904317
道路更新,新工處,大亨路,2024-05-01 00:00:00+08,2024-05-31 23:59:59+08,士林區,陽明里,121.54791754142065,25.142376103877176
人行道更新,新工處,信義區興雅國小東側及南側(基隆路1段83巷、永吉路127巷)人行道及樹穴圍籬更新案,2024-07-01 00:00:00+08,2024-09-13 23:59:59+08,信義區,西村里,121.5677202,25.0331314
道路更新,新工處,汀州路二段13巷,2024-02-01 00:00:00+08,2025-03-31 23:59:59+08,中正區,螢雪里,121.51446805595718,25.026191131307982
